Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
,0,20,473,0.084081819879448,50,-157.806950000000001,21.353586000000000,-157.837299999999999,21.431999200000000,111.159037690869397
,0,21,591,0.032761983584029,1,-159.371319000000000,22.131585999999999,-159.385600000000011,22.102100400000001,-115.842675903624126
,0,21,592,0.038249386361091,2,-159.371319000000000,22.131585999999999,-159.375799999999998,22.093599999999999,-96.727776633415957
,0,21,595,0.049227426877708,3,-159.371319000000000,22.131585999999999,-159.378600000000006,22.082899999999999,-98.505558214935846
,0,21,612,0.050236056240391,4,-159.371319000000000,22.131585999999999,-159.377757599999995,22.181407740000001,97.363677758015911
,0,21,594,0.051341830479638,5,-159.371319000000000,22.131585999999999,-159.366199999999992,22.080500000000001,-84.277858406084178
,0,21,593,0.051571497525277,6,-159.371319000000000,22.131585999999999,-159.365900000000011,22.080300000000001,-83.968372820080589
,0,21,597,0.056583589116803,7,-159.371319000000000,22.131585999999999,-159.317204000000004,22.115055139999999,-16.986679664301100
,0,21,596,0.056983446341900,8,-159.371319000000000,22.131585999999999,-159.327799999999996,22.094799999999999,-40.207367760761201
,0,21,598,0.059603211899096,9,-159.371319000000000,22.131585999999999,-159.312000000000012,22.137399700000000,5.597532861774696
,0,21,579,0.059620348514580,10,-159.371319000000000,22.131585999999999,-159.376599999999996,22.072199999999999,-95.081756323578702
,0,21,580,0.059728882100705,11,-159.371319000000000,22.131585999999999,-159.376700000000000,22.072099999999999,-95.168808834841158
,0,21,581,0.061129929629612,12,-159.371319000000000,22.131585999999999,-159.395888899999989,22.075611110000001,-113.698833807899078
,0,21,615,0.061818370434108,13,-159.371319000000000,22.131585999999999,-159.337500000000006,22.183333330000000,56.833739323927460
,0,21,614,0.062189931636880,14,-159.371319000000000,22.131585999999999,-159.331940000000003,22.179720000000000,50.712991576033311
,0,21,573,0.069983374705991,15,-159.371319000000000,22.131585999999999,-159.395999999999987,22.066099200000000,-110.650679307342074
,0,21,575,0.070146899838836,16,-159.371319000000000,22.131585999999999,-159.396199999999993,22.065999999999999,-110.774967145143577
,0,21,577,0.072561667269982,17,-159.371319000000000,22.131585999999999,-159.365000000000009,22.059300000000000,-85.004094724590388
,0,21,613,0.073053005119573,18,-159.371319000000000,22.131585999999999,-159.323599999999999,22.186900000000001,49.215890182695780
,0,21,574,0.080266002491356,19,-159.371319000000000,22.131585999999999,-159.400535800000000,22.056826319999999,-111.346034861962806
,0,21,611,0.081325656203930,20,-159.371319000000000,22.131585999999999,-159.404799999999994,22.205700000000000,114.311073641180940
,0,21,610,0.083998711638934,21,-159.371319000000000,22.131585999999999,-159.406200000000013,22.207999999999998,114.535462299075476
,0,21,609,0.088002662354932,22,-159.371319000000000,22.131585999999999,-159.407201500000014,22.211940930000001,114.063153938411688
,0,21,578,0.099642558569171,23,-159.371319000000000,22.131585999999999,-159.340537899999987,22.036816999999999,-72.006132978607027
,0,21,608,0.106498965127079,24,-159.371319000000000,22.131585999999999,-159.466388899999998,22.179583330000000,153.212452739566771
,0,21,604,0.107277399096931,25,-159.371319000000000,22.131585999999999,-159.443000000000012,22.211400000000001,131.927029418517179
,0,21,572,0.108693908397111,26,-159.371319000000000,22.131585999999999,-159.386799999999994,22.024000200000000,-98.188338782844326
,0,21,576,0.108821727412312,27,-159.371319000000000,22.131585999999999,-159.387000000000000,22.023900000000001,-98.285053440126021
,0,21,607,0.110179398968228,28,-159.371319000000000,22.131585999999999,-159.457999999999998,22.199600000000000,141.880596972590041
,0,21,571,0.118602075724834,29,-159.371319000000000,22.131585999999999,-159.467722199999997,22.062500000000000,-144.373254999645951
,0,21,602,0.129758736396589,30,-159.371319000000000,22.131585999999999,-159.472200799999996,22.213196000000000,141.028300184403633
,0,21,606,0.133904316831082,31,-159.371319000000000,22.131585999999999,-159.474313999999993,22.217157000000000,140.279291191161093
,0,21,560,0.139865516682990,32,-159.371319000000000,22.131585999999999,-159.358599999999996,21.992300000000000,-84.782465339526709
,0,21,570,0.140446332214801,33,-159.371319000000000,22.131585999999999,-159.497972199999992,22.070888889999999,-154.394457810688522
,0,21,603,0.140567377448119,34,-159.371319000000000,22.131585999999999,-159.495100000000008,22.198200199999999,151.712561563527458
,0,21,605,0.141047049444503,35,-159.371319000000000,22.131585999999999,-159.477699999999999,22.224200000000000,138.957567531949280
,0,21,559,0.148375426391975,36,-159.371319000000000,22.131585999999999,-159.337999999999994,21.986999999999998,-77.023067670741639
