,date,data,bv,txtype
328,2021-11-03T00:05:00Z,984,13.174,1
329,2021-11-03T00:10:00Z,985,13.174,1
330,2021-11-03T00:15:00Z,984,13.174,1
331,2021-11-03T00:20:00Z,984,13.174,1
332,2021-11-03T00:25:00Z,984,13.174,1
333,2021-11-03T00:30:00Z,984,13.174,1
334,2021-11-03T00:35:00Z,984,13.174,1
335,2021-11-03T00:40:00Z,984,13.174,1
336,2021-11-03T00:45:00Z,983,13.174,1
337,2021-11-03T00:50:00Z,985,13.174,1
338,2021-11-03T00:55:00Z,984,13.174,1
339,2021-11-03T01:00:00Z,984,13.174,1
340,2021-11-03T01:05:00Z,984,13.174,1
341,2021-11-03T01:10:00Z,984,13.174,1
342,2021-11-03T01:15:00Z,984,13.174,1
343,2021-11-03T01:20:00Z,984,13.174,1
344,2021-11-03T01:25:00Z,984,13.174,1
345,2021-11-03T01:30:00Z,984,13.174,1
346,2021-11-03T01:35:00Z,984,13.174,1
347,2021-11-03T01:40:00Z,984,13.174,1
348,2021-11-03T01:45:00Z,985,13.174,1
349,2021-11-03T01:45:00Z,985,12.94,1
350,2021-11-03T01:50:00Z,985,12.94,1
351,2021-11-03T01:50:00Z,985,13.174,1
352,2021-11-03T01:55:00Z,985,13.174,1
353,2021-11-03T01:55:00Z,985,12.94,1
354,2021-11-03T02:00:00Z,985,13.174,1
355,2021-11-03T02:00:00Z,985,12.94,1
356,2021-11-03T02:05:00Z,985,13.174,1
357,2021-11-03T02:05:00Z,985,12.94,1
358,2021-11-03T02:10:00Z,985,13.174,1
359,2021-11-03T02:10:00Z,985,12.94,1
360,2021-11-03T02:15:00Z,985,13.174,1
361,2021-11-03T02:15:00Z,985,12.94,1
362,2021-11-03T02:20:00Z,986,12.94,1
363,2021-11-03T02:20:00Z,986,13.174,1
364,2021-11-03T02:25:00Z,986,12.94,1
365,2021-11-03T02:25:00Z,986,13.174,1
366,2021-11-03T02:30:00Z,986,12.94,1
367,2021-11-03T02:30:00Z,986,13.174,1
368,2021-11-03T02:35:00Z,986,12.94,1
369,2021-11-03T02:35:00Z,986,13.174,1
370,2021-11-03T02:40:00Z,986,12.94,1
371,2021-11-03T02:40:00Z,986,13.174,1
372,2021-11-03T02:45:00Z,986,12.94,1
373,2021-11-03T02:50:00Z,986,12.94,1
374,2021-11-03T02:55:00Z,986,12.94,1
375,2021-11-03T03:00:00Z,987,12.94,1
376,2021-11-03T03:05:00Z,987,12.94,1
377,2021-11-03T03:10:00Z,987,12.94,1
378,2021-11-03T03:15:00Z,987,12.94,1
379,2021-11-03T03:20:00Z,988,12.94,1
380,2021-11-03T03:25:00Z,988,12.94,1
381,2021-11-03T03:30:00Z,988,12.94,1
382,2021-11-03T03:30:00Z,988,15.046,6
383,2021-11-03T03:35:00Z,988,12.94,1
384,2021-11-03T03:40:00Z,988,12.94,1
385,2021-11-03T03:45:00Z,988,12.94,1
386,2021-11-03T03:45:00Z,988,12.706,1
387,2021-11-03T03:50:00Z,989,12.94,1
388,2021-11-03T03:50:00Z,989,12.706,1
389,2021-11-03T03:55:00Z,989,12.706,1
390,2021-11-03T03:55:00Z,989,12.94,1
391,2021-11-03T04:00:00Z,989,12.94,1
392,2021-11-03T04:00:00Z,989,12.706,1
393,2021-11-03T04:05:00Z,988,12.94,1
394,2021-11-03T04:05:00Z,988,12.706,1
395,2021-11-03T04:10:00Z,988,12.94,1
396,2021-11-03T04:10:00Z,988,12.706,1
397,2021-11-03T04:15:00Z,989,12.706,1
398,2021-11-03T04:15:00Z,989,12.94,1
399,2021-11-03T04:20:00Z,989,12.94,1
400,2021-11-03T04:20:00Z,989,12.706,1
401,2021-11-03T04:25:00Z,989,12.706,1
402,2021-11-03T04:25:00Z,989,12.94,1
403,2021-11-03T04:30:00Z,989,12.94,1
404,2021-11-03T04:30:00Z,989,12.706,1
405,2021-11-03T04:35:00Z,989,12.94,1
406,2021-11-03T04:35:00Z,989,12.706,1
407,2021-11-03T04:40:00Z,990,12.94,1
408,2021-11-03T04:40:00Z,990,12.706,1
409,2021-11-03T04:45:00Z,989,12.706,1
410,2021-11-03T04:50:00Z,990,12.706,1
411,2021-11-03T04:55:00Z,990,12.706,1
412,2021-11-03T05:00:00Z,991,12.706,1
413,2021-11-03T05:05:00Z,990,12.706,1
414,2021-11-03T05:10:00Z,991,12.706,1
415,2021-11-03T05:15:00Z,991,12.706,1
416,2021-11-03T05:20:00Z,991,12.706,1
417,2021-11-03T05:25:00Z,991,12.706,1
418,2021-11-03T05:30:00Z,991,12.706,1
419,2021-11-03T05:35:00Z,992,12.706,1
420,2021-11-03T05:40:00Z,992,12.706,1
421,2021-11-03T05:45:00Z,992,12.706,1
422,2021-11-03T05:50:00Z,992,12.706,1
423,2021-11-03T05:55:00Z,992,12.706,1
424,2021-11-03T06:00:00Z,992,12.706,1
425,2021-11-03T06:05:00Z,993,12.706,1
426,2021-11-03T06:10:00Z,992,12.706,1
427,2021-11-03T06:15:00Z,993,12.706,1
428,2021-11-03T06:20:00Z,993,12.706,1
429,2021-11-03T06:25:00Z,993,12.706,1
430,2021-11-03T06:30:00Z,993,12.706,1
431,2021-11-03T06:35:00Z,994,12.706,1
432,2021-11-03T06:40:00Z,993,12.706,1
433,2021-11-03T06:45:00Z,993,12.706,1
434,2021-11-03T06:50:00Z,994,12.706,1
435,2021-11-03T06:55:00Z,993,12.706,1
436,2021-11-03T07:00:00Z,993,12.706,1
437,2021-11-03T07:05:00Z,993,12.706,1
438,2021-11-03T07:10:00Z,993,12.706,1
439,2021-11-03T07:15:00Z,994,12.706,1
440,2021-11-03T07:20:00Z,994,12.706,1
441,2021-11-03T07:25:00Z,994,12.706,1
442,2021-11-03T07:30:00Z,994,12.706,1
443,2021-11-03T07:35:00Z,994,12.706,1
444,2021-11-03T07:40:00Z,994,12.706,1
445,2021-11-03T07:45:00Z,994,12.706,1
446,2021-11-03T07:50:00Z,993,12.706,1
447,2021-11-03T07:55:00Z,993,12.706,1
448,2021-11-03T08:00:00Z,994,12.706,1
449,2021-11-03T08:05:00Z,994,12.706,1
450,2021-11-03T08:10:00Z,994,12.706,1
451,2021-11-03T08:15:00Z,994,12.706,1
452,2021-11-03T08:20:00Z,994,12.706,1
453,2021-11-03T08:25:00Z,994,12.706,1
454,2021-11-03T08:30:00Z,995,12.706,1
455,2021-11-03T08:35:00Z,994,12.706,1
456,2021-11-03T08:40:00Z,994,12.706,1
457,2021-11-03T08:45:00Z,994,12.706,1
458,2021-11-03T08:50:00Z,994,12.706,1
459,2021-11-03T08:55:00Z,994,12.706,1
460,2021-11-03T09:00:00Z,994,12.706,1
461,2021-11-03T09:05:00Z,994,12.706,1
462,2021-11-03T09:10:00Z,994,12.706,1
463,2021-11-03T09:15:00Z,993,12.706,1
464,2021-11-03T09:20:00Z,994,12.706,1
465,2021-11-03T09:25:00Z,994,12.706,1
466,2021-11-03T09:30:00Z,994,12.706,1
467,2021-11-03T09:35:00Z,993,12.706,1
468,2021-11-03T09:40:00Z,993,12.706,1
469,2021-11-03T09:45:00Z,993,12.706,1
470,2021-11-03T09:50:00Z,993,12.706,1
471,2021-11-03T09:55:00Z,992,12.706,1
472,2021-11-03T10:00:00Z,992,12.706,1
473,2021-11-03T10:05:00Z,992,12.706,1
474,2021-11-03T10:10:00Z,993,12.706,1
475,2021-11-03T10:15:00Z,993,12.706,1
476,2021-11-03T10:20:00Z,992,12.706,1
477,2021-11-03T10:25:00Z,992,12.706,1
478,2021-11-03T10:30:00Z,992,12.706,1
479,2021-11-03T10:35:00Z,991,12.706,1
480,2021-11-03T10:40:00Z,991,12.706,1
481,2021-11-03T10:45:00Z,991,12.706,1
482,2021-11-03T10:50:00Z,991,12.706,1
483,2021-11-03T10:55:00Z,991,12.706,1
484,2021-11-03T11:00:00Z,991,12.706,1
485,2021-11-03T11:05:00Z,991,12.706,1
486,2021-11-03T11:10:00Z,991,12.706,1
487,2021-11-03T11:15:00Z,991,12.706,1
488,2021-11-03T11:20:00Z,991,12.706,1
489,2021-11-03T11:25:00Z,990,12.706,1
490,2021-11-03T11:30:00Z,991,12.706,1
491,2021-11-03T11:35:00Z,991,12.706,1
492,2021-11-03T11:40:00Z,991,12.706,1
493,2021-11-03T11:45:00Z,990,12.706,1
494,2021-11-03T11:50:00Z,991,12.706,1
495,2021-11-03T11:55:00Z,991,12.706,1
496,2021-11-03T12:00:00Z,991,12.706,1
497,2021-11-03T12:05:00Z,991,12.706,1
498,2021-11-03T12:10:00Z,991,12.706,1
499,2021-11-03T12:15:00Z,991,12.706,1
500,2021-11-03T12:20:00Z,991,12.706,1
501,2021-11-03T12:25:00Z,990,12.706,1
502,2021-11-03T12:30:00Z,990,12.706,1
503,2021-11-03T12:35:00Z,990,12.706,1
