OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
-1,3,322,0.040421377734878,5,-157.970194399999997,21.492055560000001,-157.999099999999999,21.463800400000000
-1,3,362,0.042068930636533,6,-157.970194399999997,21.492055560000001,-158.008918099999988,21.508495450000002
-1,3,327,0.048069182989788,7,-157.970194399999997,21.492055560000001,-157.966900000000010,21.444099399999999
-1,3,363,0.053225852932878,8,-157.970194399999997,21.492055560000001,-157.936694399999993,21.533416670000001
-1,3,321,0.058067291170462,9,-157.970194399999997,21.492055560000001,-158.028060000000011,21.487220000000001
-1,3,364,0.064262592859696,10,-157.970194399999997,21.492055560000001,-157.921388900000011,21.533861110000000
-1,4,391,0.012802351107275,1,-159.449600000000004,21.909099999999999,-159.462205699999998,21.906864710000001
-1,4,400,0.027273378970887,2,-159.449600000000004,21.909099999999999,-159.476799999999997,21.907100700000001
-1,4,393,0.028557105759966,3,-159.449600000000004,21.909099999999999,-159.422206999999986,21.901029569999999
-1,4,392,0.030379763001050,4,-159.449600000000004,21.909099999999999,-159.451799999999992,21.878799999999998
-1,4,481,0.033407334524024,5,-159.449600000000004,21.909099999999999,-159.429000000000002,21.882800000000000
-1,4,401,0.042891356938195,6,-159.449600000000004,21.909099999999999,-159.466939999999994,21.948329999999999
-1,4,390,0.044124440223073,7,-159.449600000000004,21.909099999999999,-159.489632999999998,21.890543999999998
-1,4,389,0.044443827075119,8,-159.449600000000004,21.909099999999999,-159.493872199999998,21.905197940000001
-1,4,455,0.053972585633817,9,-159.449600000000004,21.909099999999999,-159.502600000000001,21.898900000000001
-1,4,402,0.058984624287565,10,-159.449600000000004,21.909099999999999,-159.430537399999992,21.964919380000001
-1,5,447,0.018968175707420,1,-159.373999999999995,22.199999999999999,-159.377757599999995,22.181407740000001
-1,5,446,0.031322994748267,2,-159.373999999999995,22.199999999999999,-159.404799999999994,22.205700000000000
-1,5,445,0.033178908963393,3,-159.373999999999995,22.199999999999999,-159.406200000000013,22.207999999999998
-1,5,444,0.035283500556438,4,-159.373999999999995,22.199999999999999,-159.407201500000014,22.211940930000001
-1,5,450,0.040125152820745,5,-159.373999999999995,22.199999999999999,-159.337500000000006,22.183333330000000
-1,5,449,0.046693918233527,6,-159.373999999999995,22.199999999999999,-159.331940000000003,22.179720000000000
-1,5,530,0.047299382881823,7,-159.373999999999995,22.199999999999999,-159.421230000000008,22.197438999999999
-1,5,448,0.052074657944144,8,-159.373999999999995,22.199999999999999,-159.323599999999999,22.186900000000001
-1,5,482,0.069935398762017,9,-159.373999999999995,22.199999999999999,-159.443000000000012,22.211400000000001
-1,5,438,0.088106739583802,10,-159.373999999999995,22.199999999999999,-159.312000000000012,22.137399700000000
-1,6,215,0.025294430390320,1,-156.355899999999991,20.887300000000000,-156.373849400000012,20.905122100000000
-1,6,216,0.025635284038887,2,-156.355899999999991,20.887300000000000,-156.340517699999992,20.866792619999998
-1,6,227,0.028139669590984,3,-156.355899999999991,20.887300000000000,-156.345516900000007,20.913454009999999
-1,6,459,0.037916931226900,4,-156.355899999999991,20.887300000000000,-156.380516199999988,20.858460160000000
-1,6,230,0.053153016847591,5,-156.355899999999991,20.887300000000000,-156.303059999999988,20.893059999999998
-1,6,229,0.053348883400124,6,-156.355899999999991,20.887300000000000,-156.322499999999991,20.928899800000000
-1,6,214,0.054118111570902,7,-156.355899999999991,20.887300000000000,-156.409999999999997,20.888700000000000
-1,6,217,0.057603884248279,8,-156.355899999999991,20.887300000000000,-156.330700000000007,20.835500700000001
-1,6,228,0.058739306666152,9,-156.355899999999991,20.887300000000000,-156.307184900000010,20.920119889999999
-1,6,458,0.059258990676517,10,-156.355899999999991,20.887300000000000,-156.414269999999988,20.897525999999999
-1,7,526,0.000063694583752,1,-157.836800000000011,21.339099999999998,-157.836859000000004,21.339124000000002
-1,7,294,0.000895349093943,2,-157.836800000000011,21.339099999999998,-157.835904999999997,21.339124999999999
-1,7,545,0.004398408803192,3,-157.836800000000011,21.339099999999998,-157.840920000000011,21.337560000000000
-1,7,544,0.007570052839976,4,-157.836800000000011,21.339099999999998,-157.836410000000001,21.346660000000000
-1,7,563,0.016952669406322,5,-157.836800000000011,21.339099999999998,-157.830630000000014,21.354890000000001
-1,7,297,0.017593369318646,6,-157.836800000000011,21.339099999999998,-157.823923400000012,21.327111680000002
-1,7,293,0.019901874638767,7,-157.836800000000011,21.339099999999998,-157.856700499999988,21.339333910000001
-1,7,303,0.021489195901441,8,-157.836800000000011,21.339099999999998,-157.818399999999997,21.350200699999998
-1,7,305,0.026503631304009,9,-157.836800000000011,21.339099999999998,-157.810589899999997,21.335166409999999
-1,7,261,0.030403560895104,10,-157.836800000000011,21.339099999999998,-157.846146000000005,21.310168550000000
-1,8,361,0.000924627016692,1,-158.027700000000010,21.570799999999998,-158.027805400000005,21.569881400000000
-1,8,360,0.022003357950293,2,-158.027700000000010,21.570799999999998,-158.013055600000001,21.587222220000001
-1,8,376,0.030217331494009,3,-158.027700000000010,21.570799999999998,-158.016916699999996,21.599027780000000
-1,8,374,0.051234275884307,4,-158.027700000000010,21.570799999999998,-158.015025000000009,21.620441670000002
-1,8,375,0.053299376382773,5,-158.027700000000010,21.570799999999998,-158.014305600000000,21.622388890000000
-1,8,560,0.063063942946821,6,-158.027700000000010,21.570799999999998,-158.040649999999999,21.632520000000000
-1,8,362,0.065073932709749,7,-158.027700000000010,21.570799999999998,-158.008918099999988,21.508495450000002
-1,8,355,0.066287889755588,8,-158.027700000000010,21.570799999999998,-158.085583200000002,21.538494900000000
