above,station,index
Above On Index,HC&S #24,53.6570861486178,14.0
Above On Index,HC&S #24,42.0640615724006,14.0
Above Off Index,HC&S #24,13.462158203125,13.0
Above On Index,HC&S #24,56.529931648437504,14.0
Above On Index,HC&S #24,28.31700000000005,14.0
Above On Index,HC&S #24,17.916,14.0
Above On Index,HC&S #24,15.6748249469862,14.0
Above On Index,HC&S #24,63.459826140021,14.0
Above On Index,HC&S #24,27.37727793159485,14.0
Above On Index,HC&S #24,26.674,14.0
Above On Index,HC&S #24,24.528,14.0
Above On Index,HC&S #24,18.5421142578125,14.0
Above On Index,HC&S #24,55.85,14.0
Above On Index,HC&S #24,122.388302937255,14.0
Above On Index,HC&S #24,27.4319999999999,14.0
Above On Index,HC&S #24,38.1,14.0
Above On Index,HC&S #24,29.57399999999995,14.0
Above Off Index,HC&S #24,13.084,13.0
Above On Index,HC&S #24,33.27300000000005,14.0
Above On Index,HC&S #24,20.08200000000005,14.0
Above On Index,HC&S #24,85.99399999999994,14.0
Above On Index,HC&S #24,50.03599999999995,14.0
Above On Index,HC&S #24,25.42399999999995,14.0
Above On Index,HC&S #24,21.994999999999997,14.0
Above On Index,HC&S #24,37.8459999999998,14.0
Above On Index,HC&S #24,63.5,14.0
Above On Index,HC&S #24,19.2264426932322,14.0
Above On Index,HC&S #24,65.9380000000001,14.0
Above On Index,HC&S #24,44.7040000000001,14.0
Above On Index,HC&S #24,31.14000000000005,14.0
Above On Index,HC&S #24,20.450000000000053,14.0
Above On Index,HC&S #24,30.4444989712352,14.0
Above On Index,HC&S #24,20.3199999999999,14.0
Above On Index,HC&S #24,37.338,14.0
Above On Index,HC&S #24,72.898,14.0
Above On Index,HC&S #24,45.57167205906825,14.0
Above On Index,HC&S #24,17.69191097805939,14.0
Above Off Index,HC&S #24,13.974308575068298,13.0
Above On Index,HC&S #24,14.78009490154522,14.0
Above On Index,HC&S #24,43.380223150258416,14.0
Above On Index,HC&S #24,16.59648322717878,14.0
Above On Index,HC&S #24,19.82205419375939,14.0
Above On Index,HC&S #24,41.4671151561006,14.0
Above On Index,HC&S #24,39.915799216910884,14.0
Above On Index,HC&S #24,16.148298371596052,14.0
Above On Index,HC&S #24,23.361458541629602,14.0
Above Off Index,HC&S #24,13.426042038170575,13.0
Above On Index,HC&S #24,14.322646046743973,14.0
Above Off Index,HC&S #24,13.369908443275037,13.0
Above Off Index,HC&S #24,13.359387951763585,13.0
Above On Index,HC&S #24,15.626974319985163,14.0
Above On Index,HC&S #24,18.67593044962407,14.0
Above On Index,HC&S #24,23.787635540724544,14.0
Above On Index,HC&S #24,26.040043415579426,14.0
Above On Index,HC&S #24,18.58487937179998,14.0
Above On Index,HC&S #24,21.02983522883168,14.0
Above On Index,HC&S #24,24.57327329798814,14.0
Above On Index,HC&S #24,25.059524760593696,14.0
Above On Index,HC&S #24,18.91962786010384,14.0
Above On Index,HC&S #24,20.77725298005798,14.0
Above On Index,HC&S #24,17.280015453335597,14.0
Above On Index,HC&S #24,16.880318383022757,14.0
Above On Index,HC&S #24,17.44997188320419,14.0
Above On Index,HC&S #24,34.334807653874414,14.0
Above On Index,HC&S #24,19.252026518712206,14.0
Above On Index,HC&S #24,17.672169695444847,14.0
Above On Index,HC&S #24,14.025900986844784,14.0
Above On Index,HC&S #24,17.77573197711194,14.0
Above On Index,HC&S #24,22.773161448654882,14.0
Above Off Index,HC&S #24,13.523284253875127,13.0
Above On Index,HC&S #24,38.98485627949698,14.0
Above On Index,HC&S #24,23.47768960483672,14.0
Above Off Index,HC&S #24,13.34986083103464,13.0
Above On Index,HC&S #24,17.403447171914017,14.0
Above On Index,HC&S #24,15.47850637637419,14.0
Above On Index,HC&S #24,17.669861722967404,14.0
Above On Index,HC&S #24,58.376793039988456,14.0
Above On Index,HC&S #24,59.538554754891535,14.0
Above On Index,HC&S #24,17.051073278868312,14.0
Above Off Index,HC&S #24,13.199360962594842,13.0
Above On Index,HC&S #24,40.88230040847888,14.0
Above On Index,HC&S #24,14.072385852514648,14.0
Above Off Index,HC&S #24,13.673622564553051,13.0
Above On Index,HC&S #24,28.6492691632016,14.0
Above On Index,HC&S #24,14.740562032361657,14.0
Above On Index,HC&S #24,15.386307444252083,14.0
Above On Index,HC&S #24,23.99907686610822,14.0
Above On Index,HC&S #24,116.44465657877592,14.0
Above On Index,HC&S #24,76.79799565958595,14.0
Above On Index,HC&S #24,35.0733457237999,14.0
Above On Index,HC&S #24,24.417536611075082,14.0
Above On Index,HC&S #24,15.497382673416823,14.0
Above On Index,HC&S #24,14.70261454410651,14.0
Above On Index,HC&S #24,14.758673185213627,14.0
Above On Index,HC&S #24,28.557244722484977,14.0
Above On Index,HC&S #24,16.8152306724813,14.0
Above On Index,HC&S #24,45.4654278582531,14.0
Above On Index,HC&S #24,19.91786350900636,14.0
Above Off Index,HC&S #24,13.405118170875088,13.0
Above On Index,Kaupakalua,59.0528255323791,35.4
Above On Index,Kaupakalua,45.02267369789497,35.4
Above Off Index,Kaupakalua,34.539082189752975,34.4
Above On Index,Kaupakalua,53.35873921257477,35.4
Above On Index,Kaupakalua,36.25796834065102,35.4
Above On Index,Kaupakalua,50.50845956398156,35.4
Above On Index,Kaupakalua,140.716,35.4
Above On Index,Kaupakalua,53.6570861486178,35.4
Above On Index,Kaupakalua,42.0640615724006,35.4
Above On Index,Kaupakalua,56.529931648437504,35.4
Above On Index,Kaupakalua,63.459826140021,35.4
Above On Index,Kaupakalua,55.85,35.4
Above On Index,Kaupakalua,122.388302937255,35.4
Above On Index,Kaupakalua,38.1,35.4
Above On Index,Kaupakalua,85.99399999999994,35.4
Above On Index,Kaupakalua,50.03599999999995,35.4
Above On Index,Kaupakalua,37.8459999999998,35.4
Above On Index,Kaupakalua,63.5,35.4
Above On Index,Kaupakalua,65.9380000000001,35.4
Above On Index,Kaupakalua,44.7040000000001,35.4
Above On Index,Kaupakalua,37.338,35.4
Above On Index,Kaupakalua,72.898,35.4
Above On Index,Kaupakalua,45.57167205906825,35.4
Above On Index,Kaupakalua,43.380223150258416,35.4
Above On Index,Kaupakalua,41.4671151561006,35.4
Above On Index,Kaupakalua,39.915799216910884,35.4
Above On Index,Kaupakalua,38.98485627949698,35.4
Above On Index,Kaupakalua,58.376793039988456,35.4
Above On Index,Kaupakalua,59.538554754891535,35.4
Above On Index,Kaupakalua,40.88230040847888,35.4
Above On Index,Kaupakalua,116.44465657877592,35.4
